-114.753,-114.753,-161.907,-8.444,-8.444,0,-187.654,10.511,0,0,9.586,9.586,9.586,72.328,61.96,0,85.163,0,142.982,-9.168,389.108,0,0,0,0,83.387,0,106.465,116.077,393.466,57.635,53.994,0,0,104.704,0,63.366,64.249,33.562,71.976,59.183,0,0,187.175,65.383,0,66.42,0,-74.806,19.83,-66.484,0,0,373.918,0,0,38.918
-114.753,-114.753,-161.907,-161.907,0,-10.674,-10.674,10.511,10.511,39.822,74.881,74.881,113.402,0,74.259,146.192,112.299,246.712,205.535,187.493,120.27,151.64,93.851,47.759,92.149,0,0,175.791,0,69.22,97.243,0,59.196,47.284,122.596,222.385,92.646,76.558,33.562,140.271,30.348,0,69.895,30.142,0,66.795,0,0,-74.806,-66.484,-66.484,0,128.593,0,134.706,0,38.918
-114.753,-114.753,-114.753,-62.998,270.174,-10.674,-10.674,0,23.594,61.393,101.101,0,37.229,0,0,88.363,167.504,0,0,89.343,169.141,240.897,162.227,114.842,0,28.98,127.741,40.181,106.379,0,378.252,0,38.601,0,145.854,95.39,124.981,0,50.765,0,0,61.341,98.43,0,88.771,4.686,26.121,-83.996,0,18.265,6.168,6.168,-593.823,84.315,0,0,82.294
-64.505,-114.753,0,-62.998,-2.927,0,0,67.834,23.594,0,22.03,117.233,48.307,98.361,0,0,0,0,12.103,0,0,81.449,168.931,321.608,140.797,78.424,56.019,115.022,124.42,0,145.388,88.34,0,34.447,0,34.928,0,84.263,81.706,0,68.392,70.14,34.734,143.852,96.074,0,0,0,0,57.095,50.811,0,31.782,95.058,84.028,0,215.928
-64.505,-64.505,0,-62.998,-62.998,0,258.06,0,85.481,22.03,22.03,97.995,0,75.574,195.844,0,83.642,95.431,0,0,21.81,19.921,0,0,0,129.384,120.052,40.171,126.13,207.963,79.558,54.449,72.375,85.675,77.56,0,54.572,39.7,0,173.772,69.563,0,0,96.184,40.984,30.435,0,0,118.651,0,70.352,49.619,31.782,148.578,0,64.812,0
-64.505,-3919.864,-1314.496,-309.795,-199.559,384.137,0,56.494,0,41.828,110.958,114.802,0,17.753,126.504,105.79,179.676,46.167,46.167,0,19.921,0,84.944,0,61.451,72.371,0,147.563,84.047,64.015,67.196,83.502,394.242,0,0,28.368,0,0,0,0,0,51.049,37.798,0,0,55.934,0,0,-14.074,73.995,0,68.219,110.07,0,33.316,106.737,0
-64.505,-3919.864,0,19.198,-208.354,69.665,246.052,351.207,73.881,41.828,0,295.101,156.473,110.019,0,101.577,169.608,0,0,0,0,91.346,0,233.315,127.981,78.441,0,0,166.827,61.901,77.702,0,40.302,0,0,0,0,0,114.699,74.175,55.304,0,64.975,0,0,0,49.438,0,-1.802,30.49,56.028,39.122,0,59.845,144.971,0,-1900.993
-64.505,0,-78.249,55.222,8.449,8.449,477.822,217.876,3.526,3.526,134.046,85.181,0,156.762,0,0,152.768,131.504,0,0,0,0,0,274.24,70.129,0,84.051,114.163,91.106,0,59.769,68.63,0,73.439,47.192,0,41.155,62.693,0,54.137,90.303,97.161,0,68.395,153.158,0,44.487,0,-1.802,61.03,66.405,0,293.808,75.401,0,120.89,0
0.572,0,44.364,21.942,21.942,8.449,110.009,139.973,0,11.51,123.569,0,105.185,309.938,186.603,0,395.975,33.432,0,58.408,85.665,0,0,59.623,30.898,0,33.131,54.574,134.012,0,0,0,60.658,49.502,87.477,31.409,0,64.365,72.23,0,74.732,0,80.4,0,44.652,63.896,0,0,29.032,73.417,0,113.207,61.583,0,42.661,116.733,105.015
0.572,0,45.36,54.483,0,0,98.569,95.314,94.847,117.847,11.51,98.143,0,238.86,122.494,143.115,88.266,41.099,0,0,237.285,0,127.807,0,70.507,73.759,0,0,38.424,0,0,0,85.563,83.7,83.7,35.049,70.993,0,65.694,105.897,0,144.908,81.028,85.086,0,8.952,26.762,0,82.951,79.805,0,72.703,70.521,91.302,47.185,38.709,-8483.294
